evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,16.961185,0.845649,0.153330,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.014049,0.006685,0.022547,0.014313,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.012087,0.004593,0.022802,0.010742,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.012147,0.006037,0.020832,0.014802,siamese_to_persian_cat
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.011847,0.004351,0.020156,0.009785,red_panda_to_giant_panda
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.015320,0.007134,0.028553,0.013917,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.013238,0.005169,0.027713,0.013255,husky_to_doberman
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.014044,0.007079,0.026989,0.015646,grey_to_white_wolf
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.014160,0.004416,0.031572,0.013063,horse_to_zebra
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.010660,0.003463,0.023915,0.008762,camel_to_impala
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.013337,0.006199,0.022222,0.010595,lion_to_tiger
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.014107,0.006357,0.030797,0.013733,snow_leopard_to_leopard
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.015261,0.008813,0.026442,0.015182,brown_to_icebear
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.013374,0.004934,0.024205,0.011839,gibbon_to_orangutan
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.012440,0.004991,0.027221,0.013225,lorikeet_to_peacock
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.013497,0.005701,0.022952,0.012403,macaw_to_toucan
smoothness,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.012228,0.005609,0.028003,0.012345,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.20x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.013237,0.005721,0.025433,0.012725,ALL_PAIRS
